Species,Genus,Family,SuperFamily,Order,Class,Major,J_per_mgWM,Mobility_code,Food_code
Hyas araneus,Hyas,Majidae,Brachyura,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Hyas araneus,Hyas,Majidae,Brachyura,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Hyas araneus,Hyas,Majidae,Brachyura,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Nemaster rubiginosa,Nemaster,Comasteridae,Comatulida,Crinoidea,Crinoidea,Echinodermata,,2.0,1.0
Nemaster discoidea,Nemaster,Comasteridae,Comatulida,Crinoidea,Crinoidea,Echinodermata,,2.0,1.0
Comactinia echinoptera,Comactinia,Comasteridae,Comatulida,Crinoidea,Crinoidea,Echinodermata,,2.0,1.0
Cenocrinus asterius,Cenocrinus,Bathycrinidae,Bourgueticrinida,Crinoidea,Crinoidea,Echinodermata,,0.0,1.0
Democrinus conifer,Democrinus,Bathycrinidae,Bourgueticrinida,Crinoidea,Crinoidea,Echinodermata,,0.0,1.0
Holopus rangii,Holopus,Bathycrinidae,Bourgueticrinida,Crinoidea,Crinoidea,Echinodermata,,0.0,1.0
Chionoecetes bairdi,Chionoecetes,Majidae,Brachyura,Decapoda,Malacostraca,Crustacea,2.21952,1.0,3.0
Chionoecetes bairdi,Chionoecetes,Majidae,Brachyura,Decapoda,Malacostraca,Crustacea,2.3235,1.0,3.0
Artemisina apolloni,Artemisina,Anchinoidae,Poecilosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Artemisina plumosa,Artemisina,Anchinoidae,Poecilosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Cinachyra antarctica,Cinachyra,Tetillidae,Choristida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Cinachyra barbata,Cinachyra,Tetillidae,Choristida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Desmacidon ramosa,Desmacidon,Desmacidionidae,Haplosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Ectyodoryx ramilobosa,Ectyodoryx,Poecilosclerida,Poecilosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Gellius rudis,Gellius,Haliclonidae,Haplosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Haliclona cf. gaussiana,Haliclona,Haliclonidae,Haplosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Hemigellius flagellifer,Hemigellius,Haliclonidae,Haplosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Iophon spatulatus,Iophon,Myxillidae,Poecilosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Isodictya cavicornuta,Isodictya,Demascidonidae,Haplosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Isodictya erinacea,Isodictya,Demascidonidae,Haplosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Isodictya toxophila,Isodictya,Demascidonidae,Haplosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Latrunculia apicalis,Latrunculia,Latrunculiidae,Hadromerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Monosyringa sp.,Monosyringa,Choristida,Choristida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Mycale acerata,Mycale,Mycalidae,Poecilosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Myxodoryx hanitschi,Myxodoryx,Poecilosclerida,Poecilosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Phorbas glaberrima,Phorbas,Phorbasidae,Poecilosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Polymastia invaginata,Polymastia,Polymastiidae,Hadromerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Polymastia isidis,Polymastia,Polymastiidae,Hadromerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Pseudosuberites nudus,Pseudosuberites,Suberitidae,Hadromerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Rhabdocalyptus spinosus,Rhabdocalyptus,Rossellidae,Hexasterophora,Hexasterophora,Hyalospongia,Porifera,,0.0,1.0
Rossella fibulata,Rossella,Rossellidae,Hexasterophora,Hexasterophora,Hyalospongia,Porifera,,0.0,1.0
Rossella nuda,Rossella,Rossellidae,Hexasterophora,Hexasterophora,Hyalospongia,Porifera,,0.0,1.0
Rossella racovitzae,Rossella,Rossellidae,Hexasterophora,Hexasterophora,Hyalospongia,Porifera,,0.0,1.0
Rossella vanhoeffni,Rossella,Rossellidae,Hexasterophora,Hexasterophora,Hyalospongia,Porifera,,0.0,1.0
Rossella villosa,Rossella,Rossellidae,Hexasterophora,Hexasterophora,Hyalospongia,Porifera,,0.0,1.0
Scolymastra joubini,Scolymastra,Hexasterophora,Hexasterophora,Hexasterophora,Hyalospongia,Porifera,,0.0,1.0
Suberites sp.,Suberites,Suberitidae,Hadromerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Tedania oxeata,Tedania,Myxillidae,Poecilosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Tedania tantula,Tedania,Myxillidae,Poecilosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Tedania triraphis,Tedania,Myxillidae,Poecilosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Tedania vanhoeffeni,Tedania,Myxillidae,Poecilosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Tentorium papillatum,Tentorium,Suberitidae,Hadromerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Tetilla leptoderma,Tetilla,Tetillidae,Choristida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Tetilla sp.,Tetilla,Tetillidae,Choristida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Xestospongia cf. coralloides,Xestospongia,Haliclonidae,Haplosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Calyx arcuarius,Calyx,Poecilosclerida,Poecilosclerida,Demospongiae,Demospongiae,Porifera,1.17624,0.0,1.0
Cinachyra antarctica,Cinachyra,Tetillidae,Choristida,Demospongiae,Demospongiae,Porifera,1.711464,0.0,1.0
Dendrilla membranosa,Dendrilla,Dysideidae,Dendroceratida,Demospongiae,Demospongiae,Porifera,2.018744,0.0,1.0
Gellius tenella,Gellius,Haliclonidae,Haplosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Haliclona dancoi,Haliclona,Haliclonidae,Haplosclerida,Demospongiae,Demospongiae,Porifera,0.6622439999999999,0.0,1.0
Homaxonella sp.,Homaxonella,Demospongiae,Demospongiae,Demospongiae,Demospongiae,Porifera,1.067814,0.0,1.0
Inflatella belli,Inflatella,Coelosphaeridae,Poecilosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Isodictya erinacea,Isodictya,Demascidonidae,Haplosclerida,Demospongiae,Demospongiae,Porifera,0.8344799999999999,0.0,1.0
Isodictya setifera,Isodictya,Demascidonidae,Haplosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Kirkpatrickia variolosa,Kirkpatrickia,Myxillidae,Poecilosclerida,Demospongiae,Demospongiae,Porifera,1.014401,0.0,1.0
Latrunculia apicalis,Latrunculia,Latrunculiidae,Hadromerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Leucetta leptorhapsis,Leucetta,Leucascidae,Leucettida,Calcarea,Calcarea,Porifera,0.7025560000000001,0.0,1.0
Mycale acerata,Mycale,Mycalidae,Poecilosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Pachychalina peduncuiata,Pachychalina,Haplosclerida,Haplosclerida,Demospongiae,Demospongiae,Porifera,0.851816,0.0,1.0
Polymastia invaginata,Polymastia,Polymastiidae,Hadromerida,Demospongiae,Demospongiae,Porifera,1.08454,0.0,1.0
Rossella racovitzae,Rossella,Rossellidae,Hexasterophora,Hexasterophora,Hyalospongia,Porifera,0.36376,0.0,1.0
Scolymastra joubini,Scolymastra,Hexasterophora,Hexasterophora,Hexasterophora,Hyalospongia,Porifera,0.6512,0.0,1.0
Sphaerotylus anarcticus,Sphaerotylus,Polymastiidae,Hadromerida,Demospongiae,Demospongiae,Porifera,0.892476,0.0,1.0
Tetilla leptoderma,Tetilla,Tetillidae,Choristida,Demospongiae,Demospongiae,Porifera,1.113399,0.0,1.0
Isodictya kerguelensis,Isodictya,Demascidonidae,Haplosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Mycale acerata,Mycale,Mycalidae,Poecilosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Tomopteris pacifica,Tomopteris,Tomopteridae,Phyllodocida,Aciculata,Polychaeta,Annelida,0.9018753333333336,3.0,2.0
Tomopteris nisseni,Tomopteris,Tomopteridae,Phyllodocida,Aciculata,Polychaeta,Annelida,,3.0,2.0
Tomopteris sp.,Tomopteris,Tomopteridae,Phyllodocida,Aciculata,Polychaeta,Annelida,1.1067736666666668,3.0,2.0
Traviopsis lobifera,Traviopsis,Typhloscolecidae,Phyllodocida,Aciculata,Polychaeta,Annelida,1.3927098333333332,3.0,2.0
Pelagobia sp.,Pelagobia,Lopadorhynchidae,Phyllodocida,Aciculata,Polychaeta,Annelida,,3.0,2.0
Poeobius meseres,Poeobius,Poeobiidae,Terebellida,Canalipalpata,Polychaeta,Annelida,0.6370746666666668,3.0,2.0
Nectonemertes mirabilis,Nectonemertes,Nectonemertidae,Hoplonemertea,Enopla,Enopla,Nemertea,2.6582200200000003,3.0,3.0
Beroe ovata,Beroe,Beroidae,Beroida,Nuda,Ctenophora,Ctenophora,0.067,3.0,3.0
Mytilus galloprovincialis,Mytilus,Mytilidae,Mytiloida,Pteriomorphia,Bivalvia,Mollusca,,0.0,1.0
Bugula neritina,Bugula,Bugulidae,Cheilostomata,Cheilostomata,Gymnolaemata,Bryozoa,,0.0,2.0
Bugula simplex,Bugula,Bugulidae,Cheilostomata,Cheilostomata,Gymnolaemata,Bryozoa,,0.0,2.0
Bugula stolonifera,Bugula,Bugulidae,Cheilostomata,Cheilostomata,Gymnolaemata,Bryozoa,,0.0,2.0
Bugula turrita,Bugula,Bugulidae,Cheilostomata,Cheilostomata,Gymnolaemata,Bryozoa,,0.0,2.0
Beroe ovata,Beroe,Beroidae,Beroida,Nuda,Ctenophora,Ctenophora,,3.0,3.0
Mnemiopsis leidyi,Mnemiopsis,Mnemiidae,Lobata,Tentaculata,Ctenophora,Ctenophora,,3.0,2.0
Ciona intestinalis,Ciona,Cionidae,Phlebobranchia,Phlebobranchia,Ascidiacea,Tunicata,,0.0,1.0
Mytilus edulis,Mytilus,Mytilidae,Mytiloida,Pteriomorphia,Bivalvia,Mollusca,,0.0,1.0
Panulirus homarus,Panulirus,Palinuridae,Palinura,Decapoda,Malacostraca,Crustacea,,1.0,3.0
Musculium partumeium,Musculium,Sphaeriidae,Veneroida,Heterodonta,Bivalvia,Mollusca,,0.0,1.0
Marenzelleria viridis,Marenzelleria,Spionidae,Canalipalpata,Canalipalpata,Polychaeta,Annelida,,1.0,1.0
Pontoporeia femorata,Pontoporeia,Pontoporeiidae,Gammaridea,Amphipoda,Malacostraca,Crustacea,,2.0,2.0
Monoporeia affinis,Monoporeia,Pontoporeiidae,Gammaridea,Amphipoda,Malacostraca,Crustacea,,2.0,2.0
Ciona intestinalis,Ciona,Cionidae,Phlebobranchia,Phlebobranchia,Ascidiacea,Tunicata,,0.0,3.0
Mya arenaria,Mya,Myidae,Myoida,Heterodonta,Bivalvia,Mollusca,,0.0,1.0
Anthopleura elegantissima,Anthopleura,Actiniidae,Actiniaria,Hexacorallia,Anthozoa,Cnidaria,,0.0,3.0
Patinopecten yessoensis,Patinopecten,Pectinidae,Ostreoida,Pteriomorphia,Bivalvia,Mollusca,,2.0,1.0
Nerita tessellata,Nerita,Neritidae,Neritopsina,Prosobranchia,Gastropoda,Mollusca,,1.0,1.0
Nerita versicolor,Nerita,Neritidae,Neritopsina,Prosobranchia,Gastropoda,Mollusca,,1.0,1.0
Nerita peloronta,Nerita,Neritidae,Neritopsina,Prosobranchia,Gastropoda,Mollusca,,1.0,1.0
Paramoera walkeri,Paramoera,Eusiridae,Gammaridea,Amphipoda,Malacostraca,Crustacea,,2.0,2.0
Holothuria forscali,Holothuria,Holothuriidae,Aspidochirotida,Aspidochirotacea,Holothuroidea,Echinodermata,,1.0,2.0
Florometra serratissima,Florometra,Antedonidae,Comatulida,Crinoidea,Crinoidea,Echinodermata,,2.0,2.0
Gorgonocephalus caryi,Gorgonocephalus,Gorgonocephalidae,Phrynophiurida,Ophiuroidea,Ophiuroidea,Echinodermata,,1.0,2.0
Ophiopholis aculeata,Ophiopholis,Ophiactidae,Ophiurida,Ophiuroidea,Ophiuroidea,Echinodermata,,1.0,2.0
Abatus cordatus,Abatus,Spatangidae,Spatangoida,Euechinoidea,Echinoidea,Echinodermata,,1.0,2.0
Corophium curvispinum,Corophium,Corophiidae,Gammaridea,Amphipoda,Malacostraca,Crustacea,,2.0,2.0
Corophium curvispinum,Corophium,Corophiidae,Gammaridea,Amphipoda,Malacostraca,Crustacea,,2.0,2.0
Corophium curvispinum,Corophium,Corophiidae,Gammaridea,Amphipoda,Malacostraca,Crustacea,,2.0,2.0
Corophium curvispinum,Corophium,Corophiidae,Gammaridea,Amphipoda,Malacostraca,Crustacea,,2.0,2.0
Gammarus fossarum,Gammarus,Gammaridae,Gammaridea,Amphipoda,Malacostraca,Crustacea,,2.0,1.0
Gammarus fossarum,Gammarus,Gammaridae,Gammaridea,Amphipoda,Malacostraca,Crustacea,,2.0,1.0
Mytilus chilensis,Mytilus,Mytilidae,Mytiloida,Pteriomorphia,Bivalvia,Mollusca,,0.0,1.0
Macrobrachium rosenbergii,Macrobrachium,Palaemonidae,Caridea,Decapoda,Malacostraca,Crustacea,,2.0,2.0
Nereis sp.,Nereis,Nereididae,Phyllodocida,Aciculata,Polychaeta,Annelida,,1.0,2.0
Clava multicornis,Clava,Clavidae,Anthomedusae,Hydroida,Hydrozoa,Cnidaria,,0.0,3.0
Calliopius laeviusculus,Calliopius,Calliopidae,Gammaridea,Amphipoda,Malacostraca,Crustacea,4.126584,2.0,1.0
Ophionereis fasciata,Ophionereis,Amphiuridae,Ophiurida,Ophiuroidea,Ophiuroidea,Echinodermata,,1.0,2.0
Ophiactis resiliens,Ophiactis,Ophiactidae,Ophiurida,Ophiuroidea,Ophiuroidea,Echinodermata,,1.0,2.0
Ophiopteris antipodum,Ophiopteris,Ophiocomidae,Ophiurida,Ophiuroidea,Ophiuroidea,Echinodermata,,1.0,2.0
Anax junius,Anax,Aeshnidae,Anisoptera,Odonata,Pterygota,Insecta,,1.0,3.0
Gammarus fossarum,Gammarus,Gammaridae,Gammaridea,Amphipoda,Malacostraca,Crustacea,,2.0,1.0
Orchomene plebs,Orchomene,Lysianassidae,Gammaridea,Amphipoda,Malacostraca,Crustacea,,2.0,2.0
Orchomene plebs,Orchomene,Lysianassidae,Gammaridea,Amphipoda,Malacostraca,Crustacea,,2.0,2.0
Orchomene plebs,Orchomene,Lysianassidae,Gammaridea,Amphipoda,Malacostraca,Crustacea,,2.0,2.0
Verongia fistularis,Verongia,Verongiidae,Dendroceratida,Demospongiae,Demospongiae,Porifera,2.2841,0.0,1.0
Maretia planulata,Maretia,Spatangidae,Spatangoida,Euechinoidea,Echinoidea,Echinodermata,0.185306154,1.0,2.0
Toxopneustes chlorocanthus,Toxopneustes,Toxopneustidae,Temnopleuroida,Euechinoidea,Echinoidea,Echinodermata,0.285285,1.0,2.0
Echinaster luzonicus,Echinaster,Echinasteridae,Spinulosida,Asteroidea,Asteroidea,Echinodermata,1.25239257,1.0,3.0
Stichopus chloronotus,Stichopus,Stichopodidae,Aspidochirotida,Aspidochirotacea,Holothuroidea,Echinodermata,0.5561594500000001,1.0,2.0
Ophiocoma scolopendrina,Ophiocoma,Ophiocomidae,Ophiurida,Ophiuroidea,Ophiuroidea,Echinodermata,0.7762859999999999,1.0,2.0
Himerometra magnipinna,Himerometra,Himerometridae,Comatulida,Crinoidea,Crinoidea,Echinodermata,1.7047595,2.0,1.0
Paralicella caperesca,Paralicella,Lysianassidae,Gammaridea,Amphipoda,Malacostraca,Crustacea,,2.0,3.0
Orchomene sp.,Orchomene,Lysianassidae,Gammaridea,Amphipoda,Malacostraca,Crustacea,,2.0,3.0
Orchomene sp.,Orchomene,Lysianassidae,Gammaridea,Amphipoda,Malacostraca,Crustacea,,2.0,3.0
Ophiopthalmus normani,Ophiopthalmus,Ophiacanthidae,Ophiurida,Ophiuroidea,Ophiuroidea,Echinodermata,1.0231755958999995,1.0,2.0
Scotoplanes globosa,Scotoplanes,Elpidiidae,Elasipodida,Aspidochirotacea,Holothuroidea,Echinodermata,,1.0,2.0
Bathymodiolus thermopilus,Bathymodiolus,Mytilidae,Mytiloida,Pteriomorphia,Bivalvia,Mollusca,,0.0,1.0
Stenonema pulchellum,Stenonema,Heptageniidae,Setisura,Ephemeroptera,Pterygota,Insecta,4.5744875,1.0,1.0
Pinctada margaritifera,Pinctada,Pteriidae,Pterioida,Pteriomorphia,Bivalvia,Mollusca,,0.0,1.0
Pinctada maxima,Pinctada,Pteriidae,Pterioida,Pteriomorphia,Bivalvia,Mollusca,,0.0,1.0
Balanus glandula,Balanus,Balanidae,Balanomorpha,Thoracica,Cirripedia,Crustacea,,0.0,1.0
Sterechinus neumayeri,Sterechinus,Echinidae,Echinoida,Euechinoidea,Echinoidea,Echinodermata,,3.0,1.0
Euphausia superba,Euphausia,Euphausiidae,Euphausiacea,Euphausiacea,Malacostraca,Crustacea,,3.0,1.0
Euphausia superba,Euphausia,Euphausiidae,Euphausiacea,Euphausiacea,Malacostraca,Crustacea,,3.0,2.0
Euphausia superba,Euphausia,Euphausiidae,Euphausiacea,Euphausiacea,Malacostraca,Crustacea,,3.0,2.0
Adamussium colbecki,Adamussium,Pectinidae,Ostreoida,Pteriomorphia,Bivalvia,Mollusca,,2.0,1.0
Zygochlamys patagonica,Zygochlamys,Pectinidae,Ostreoida,Pteriomorphia,Bivalvia,Mollusca,,2.0,1.0
Aristeus antennatus,Aristeus,Aristeidae,Penaeoidea,Decapoda,Malacostraca,Crustacea,5.396,2.0,3.0
Parapenaeus longirostris,Parapenaeus,Penaeidae,Penaeoidea,Decapoda,Malacostraca,Crustacea,4.347,2.0,3.0
Solenocera membranacea,Solenocera,Solenoceridae,Penaeoidea,Decapoda,Malacostraca,Crustacea,3.383,2.0,3.0
Acanthephyra eximia,Acanthephyra,Oplophoridae,Caridea,Decapoda,Malacostraca,Crustacea,3.767,2.0,3.0
Ligur ensiferus,Ligur,Hippolytidae,Caridea,Decapoda,Malacostraca,Crustacea,3.814,2.0,3.0
Processa canaliculata,Processa,Processidae,Caridea,Decapoda,Malacostraca,Crustacea,4.027,2.0,3.0
Plesionika acanthonotus,Plesionika,Pandalidae,Caridea,Decapoda,Malacostraca,Crustacea,5.071,2.0,3.0
Plesionika edwardsi,Plesionika,Pandalidae,Caridea,Decapoda,Malacostraca,Crustacea,5.156,2.0,3.0
Plesionika gigliolii,Plesionika,Pandalidae,Caridea,Decapoda,Malacostraca,Crustacea,4.178,2.0,3.0
Plesionika heterocarpus,Plesionika,Pandalidae,Caridea,Decapoda,Malacostraca,Crustacea,4.033,2.0,3.0
Plesionika martia,Plesionika,Pandalidae,Caridea,Decapoda,Malacostraca,Crustacea,5.282,2.0,3.0
Pontophilus norvegicus,Pontophilus,Crangonidae,Caridea,Decapoda,Malacostraca,Crustacea,3.164,2.0,3.0
Nephrops norvegicus,Nephrops,Nephropidae,Astacoidea,Decapoda,Malacostraca,Crustacea,3.343,1.0,3.0
Polycheles typhlops,Polycheles,Polychelidae,Palinura,Decapoda,Malacostraca,Crustacea,2.887,1.0,3.0
Munida intermedia,Munida,Galatheidae,Anomura,Decapoda,Malacostraca,Crustacea,3.17,1.0,2.0
Munida tenuimana,Munida,Galatheidae,Anomura,Decapoda,Malacostraca,Crustacea,2.996,1.0,2.0
Homola barbata,Homola,Homolidae,Brachyura,Decapoda,Malacostraca,Crustacea,2.65,1.0,3.0
Geryon longipes,Geryon,Geryonidae,Brachyura,Decapoda,Malacostraca,Crustacea,3.144,1.0,3.0
Liocarcinus depurator,Liocarcinus,Portunidae,Brachyura,Decapoda,Malacostraca,Crustacea,3.4,2.0,3.0
Macropipus tuberculatus,Macropipus,Portunidae,Brachyura,Decapoda,Malacostraca,Crustacea,2.673,2.0,3.0
Goneplax rhomboides,Goneplax,Goneplacidae,Brachyura,Decapoda,Malacostraca,Crustacea,2.717,1.0,3.0
Monodaeus couchi,Monodaeus,Xanthidae,Brachyura,Decapoda,Malacostraca,Crustacea,2.226,1.0,3.0
Hyas araneus,Hyas,Majidae,Brachyura,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Hyas araneus,Hyas,Majidae,Brachyura,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Hyas araneus,Hyas,Majidae,Brachyura,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Hyas araneus,Hyas,Majidae,Brachyura,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Hyas araneus,Hyas,Majidae,Brachyura,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Hyas araneus,Hyas,Majidae,Brachyura,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Calanus glacialis,Calanus,Calanidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,1.0
Enypniastes eximia,Enypniastes,Pelagothuriidae,Aspidochirotida,Aspidochirotacea,Holothuroidea,Echinodermata,,3.0,2.0
Bathocyroe fosteri,Bathocyroe,Bathocyroidae,Lobata,Tentaculata,Ctenophora,Ctenophora,,3.0,3.0
Benthocodon pedunculata,Benthocodon,Trachymedusae,Trachymedusae,Trachylina,Hydrozoa,Cnidaria,,3.0,2.0
Calanus glacialis,Calanus,Calanidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,1.0
Calanus glacialis,Calanus,Calanidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,1.0
Calanus glacialis,Calanus,Calanidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,1.0
Panulirus interuptus,Panulirus,Palinuridae,Palinura,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Cancer productus,Cancer,Cancridae,Brachyura,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Bullia digitalis,Bullia,Nassariidae,Neogastropoda,Prosobranchia,Gastropoda,Mollusca,,1.0,3.0
Salpa fusiformis,Salpa,Salpidae,Salpida,Salpida,Thaliacea,Tunicata,,3.0,1.0
Salpa fusiformis,Salpa,Salpidae,Salpida,Salpida,Thaliacea,Tunicata,,3.0,1.0
Waldeckia obesa,Waldeckia,Lysianassidae,Gammaridea,Amphipoda,Malacostraca,Crustacea,,2.0,3.0
Waldeckia obesa,Waldeckia,Lysianassidae,Gammaridea,Amphipoda,Malacostraca,Crustacea,,2.0,3.0
Waldeckia obesa,Waldeckia,Lysianassidae,Gammaridea,Amphipoda,Malacostraca,Crustacea,,2.0,3.0
Waldeckia obesa,Waldeckia,Lysianassidae,Gammaridea,Amphipoda,Malacostraca,Crustacea,,2.0,3.0
Anonyx nugax,Anonyx,Lysianassidae,Gammaridea,Amphipoda,Malacostraca,Crustacea,,2.0,2.0
Orchomenella obtusa,Orchomenella,Lysianassidae,Gammaridea,Amphipoda,Malacostraca,Crustacea,,2.0,2.0
Tmetonyx cicada,Tmetonyx,Lysianassidae,Gammaridea,Amphipoda,Malacostraca,Crustacea,,2.0,2.0
Parborlasia corrugatus,Parborlasia,Enopla,Enopla,Enopla,Enopla,Nemertea,,1.0,3.0
Nacella concinna,Nacella,Nacellidae,Archaeogastropoda,Prosobranchia,Gastropoda,Mollusca,,1.0,1.0
Sacculina carcini,Sacculina,Sacculinidae,Kentrogonida,Rhizocephala,Cirripedia,Crustacea,,3.0,1.0
Sacculina carcini,Sacculina,Sacculinidae,Kentrogonida,Rhizocephala,Cirripedia,Crustacea,,3.0,1.0
Sacculina carcini,Sacculina,Sacculinidae,Kentrogonida,Rhizocephala,Cirripedia,Crustacea,,3.0,1.0
Sacculina carcini,Sacculina,Sacculinidae,Kentrogonida,Rhizocephala,Cirripedia,Crustacea,,3.0,1.0
Calanus hyperboreus,Calanus,Calanidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,2.0
Calanus hyperboreus,Calanus,Calanidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,2.0
Eupolymnia heterobranchia,Eupolymnia,Terebellidae,Terebellida,Canalipalpata,Polychaeta,Annelida,,0.0,2.0
Thelepus crispus,Thelepus,Terebellidae,Terebellida,Canalipalpata,Polychaeta,Annelida,,0.0,2.0
Neoamphitrite robusta,Neoamphitrite,Terebellidae,Terebellida,Canalipalpata,Polychaeta,Annelida,,0.0,2.0
Pelagia noctiluca,Pelagia,Pelagiidae,Semaeostomeae,Semaeostomeae,Scyphozoa,Cnidaria,,3.0,2.0
Phrosina semilunata,Phrosina,Phrosinidae,Hyperiidea,Amphipoda,Malacostraca,Crustacea,,3.0,2.0
Euphausia gibboides,Euphausia,Euphausiidae,Euphausiacea,Euphausiacea,Malacostraca,Crustacea,,3.0,2.0
Systellapsis debilis,Systellapsis,Pasiphaeidae,Caridea,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Dromia sp.,Dromia,Dromiidae,Brachyura,Decapoda,Malacostraca,Crustacea,,1.0,3.0
Cavolinia tridentata,Cavolinia,Cavoliniidae,Thecosomata,Thecosomata,Gastropoda,Mollusca,,3.0,2.0
Carinaria lamarcki,Carinaria,Carinariidae,Neotaenioglossa,Neotaenioglossa,Gastropoda,Mollusca,,3.0,3.0
Pterotrachea scutata,Pterotrachea,Pterotracheidae,Neotaenioglossa,Neotaenioglossa,Gastropoda,Mollusca,,3.0,3.0
Carcinus maenas,Carcinus,Portunidae,Brachyura,Decapoda,Malacostraca,Crustacea,,1.0,1.0
Carcinus maenas,Carcinus,Portunidae,Brachyura,Decapoda,Malacostraca,Crustacea,,1.0,1.0
Carcinus maenas,Carcinus,Portunidae,Brachyura,Decapoda,Malacostraca,Crustacea,,1.0,1.0
Carcinus maenas,Carcinus,Portunidae,Brachyura,Decapoda,Malacostraca,Crustacea,,1.0,1.0
Carcinus maenas,Carcinus,Portunidae,Brachyura,Decapoda,Malacostraca,Crustacea,,1.0,1.0
Carcinus maenas,Carcinus,Portunidae,Brachyura,Decapoda,Malacostraca,Crustacea,,1.0,1.0
Carcinus maenas,Carcinus,Portunidae,Brachyura,Decapoda,Malacostraca,Crustacea,,1.0,1.0
Carcinus maenas,Carcinus,Portunidae,Brachyura,Decapoda,Malacostraca,Crustacea,,1.0,1.0
Pagurus bernhardus,Pagurus,Paguridae,Anomura,Decapoda,Malacostraca,Crustacea,,3.0,1.0
Pagurus bernhardus,Pagurus,Paguridae,Anomura,Decapoda,Malacostraca,Crustacea,,3.0,1.0
Pagurus bernhardus,Pagurus,Paguridae,Anomura,Decapoda,Malacostraca,Crustacea,,3.0,1.0
Pagurus bernhardus,Pagurus,Paguridae,Anomura,Decapoda,Malacostraca,Crustacea,,3.0,1.0
Pagurus bernhardus,Pagurus,Paguridae,Anomura,Decapoda,Malacostraca,Crustacea,,3.0,1.0
Pagurus bernhardus,Pagurus,Paguridae,Anomura,Decapoda,Malacostraca,Crustacea,,3.0,1.0
Pagurus bernhardus,Pagurus,Paguridae,Anomura,Decapoda,Malacostraca,Crustacea,,3.0,1.0
Pagurus bernhardus,Pagurus,Paguridae,Anomura,Decapoda,Malacostraca,Crustacea,,3.0,1.0
Pagurus bernhardus,Pagurus,Paguridae,Anomura,Decapoda,Malacostraca,Crustacea,,1.0,3.0
Thysanopoda monocantha,Thysanopoda,Euphausiidae,Euphausiacea,Euphausiacea,Malacostraca,Crustacea,,3.0,2.0
